iter	Logloss
0	0.688172937
1	0.6820922566
2	0.6772873185
3	0.6709754608
4	0.6658225166
5	0.660158423
6	0.6550080508
7	0.6490061878
8	0.644011487
9	0.6396924629
10	0.6361551682
11	0.6307148742
12	0.6262969788
13	0.6218574564
14	0.6178153275
15	0.6145270756
16	0.6105614595
17	0.6065145215
18	0.6025771394
19	0.5989393314
20	0.595420089
21	0.5917314642
22	0.587754794
23	0.5848597323
24	0.582311789
25	0.5794290705
26	0.5764637713
27	0.5732369008
28	0.571099407
29	0.5688367126
30	0.5656198526
31	0.5622168186
32	0.559641114
33	0.5562299256
34	0.5534932494
35	0.5506683954
36	0.5487681341
37	0.546103787
38	0.5437101235
39	0.5415474317
40	0.5392591431
41	0.5372656829
42	0.5353759472
43	0.5329565143
44	0.5309696441
45	0.5288508119
46	0.5271526015
47	0.5250993947
48	0.522523786
49	0.5207734449
50	0.5191700092
51	0.5174737669
52	0.5155996785
53	0.5140947008
54	0.5124641483
55	0.5107517615
56	0.5086707721
57	0.5070126258
58	0.5051185984
59	0.5033556708
60	0.5015006056
61	0.4994800086
62	0.4974494314
63	0.4956381342
64	0.4938802803
65	0.4913017786
66	0.4896219156
67	0.4882044342
68	0.4864347614
69	0.4850411961
70	0.4829204369
71	0.481454662
72	0.4798228047
73	0.47845382
74	0.4771190574
75	0.4757317288
76	0.4748967766
77	0.4738900226
78	0.4724512667
79	0.470210637
80	0.469048206
81	0.4678684495
82	0.4660612184
83	0.4645368693
84	0.4635019283
85	0.4622098015
86	0.4604369151
87	0.4594407248
88	0.4576696409
89	0.4562882597
90	0.4551694674
91	0.4535466582
92	0.4526265643
93	0.4515582015
94	0.4506314447
95	0.4491314056
96	0.4480258021
97	0.446616128
98	0.4456452662
99	0.4449241827
100	0.4436663497
101	0.4427582475
102	0.441911146
103	0.4407754564
104	0.4397088306
105	0.4387743103
106	0.437584742
107	0.4363996813
108	0.4356860465
109	0.4344535741
110	0.43345121
111	0.4328438716
112	0.4320183763
113	0.4311275982
114	0.4303756103
115	0.4293460283
116	0.4287329228
117	0.4278199268
118	0.4267373298
119	0.4259944617
120	0.4249221393
121	0.4241703926
122	0.4230769386
123	0.422130905
124	0.4210329696
125	0.4202668601
126	0.4196563665
127	0.4185600575
128	0.4178284995
129	0.4166971718
130	0.4160314143
131	0.4152300021
132	0.4141595826
133	0.4130229059
134	0.4124353854
135	0.4116020625
136	0.4109196225
137	0.4098846251
138	0.4090247674
139	0.4084019997
140	0.4075214194
141	0.4066319945
142	0.406140973
143	0.4050902984
144	0.4037327279
145	0.4029351571
146	0.402459158
147	0.4020453993
148	0.4014915867
149	0.4006116295
150	0.3999624406
151	0.399126874
152	0.3983898507
153	0.3966396546
154	0.395925243
155	0.395357985
156	0.3946628681
157	0.3938556741
158	0.3929853514
159	0.3924898749
160	0.391586489
161	0.3908968433
162	0.3901715571
163	0.3895323159
164	0.3889460552
165	0.3882829363
166	0.3876303409
167	0.3870778077
168	0.386596007
169	0.3861417123
170	0.3856328874
171	0.3849371204
172	0.3841174037
173	0.3836107769
174	0.3829136971
175	0.3825479885
176	0.3813726447
177	0.3809320327
178	0.3803921257
179	0.3800378083
180	0.3795349965
181	0.3790357849
182	0.3783791192
183	0.377675313
184	0.3772550059
185	0.3765770262
186	0.375904369
187	0.375591401
188	0.375150867
189	0.3747285216
190	0.3743833747
191	0.373541624
192	0.3730289568
193	0.3724771028
194	0.3716919659
195	0.3712881972
196	0.3707546407
197	0.3702384477
198	0.3695392346
199	0.3689810151
200	0.3686089563
201	0.3682442059
202	0.3674801783
203	0.367090377
204	0.3667830866
205	0.3660078055
206	0.3650381862
207	0.3645181272
208	0.3640798545
209	0.3635566254
210	0.3630210175
211	0.3625524381
212	0.3621996842
213	0.361876214
214	0.3611343992
215	0.360614601
216	0.3600631778
217	0.3597065754
218	0.3592398966
219	0.3587794695
220	0.3582028793
221	0.357417942
222	0.356994683
223	0.3566662542
224	0.356327465
225	0.3558487396
226	0.3550243014
227	0.3544647709
228	0.3540245328
229	0.3535345727
230	0.3530255649
