iter	Passed	Remaining
440	1323	1678
441	1326	1675
442	1329	1671
443	1332	1668
444	1335	1665
445	1338	1662
446	1341	1659
447	1343	1655
448	1346	1652
449	1349	1649
450	1352	1646
451	1355	1642
452	1357	1639
453	1360	1636
454	1362	1632
455	1365	1629
456	1368	1626
457	1371	1623
458	1374	1619
459	1376	1616
460	1379	1613
461	1382	1609
462	1384	1606
463	1387	1602
464	1390	1600
465	1394	1597
466	1397	1595
467	1400	1592
468	1404	1589
469	1407	1587
470	1410	1584
471	1413	1581
472	1416	1578
473	1420	1576
474	1424	1573
475	1427	1571
476	1430	1568
477	1433	1565
478	1436	1562
479	1440	1560
480	1443	1557
481	1446	1554
482	1449	1551
483	1453	1549
484	1456	1546
485	1459	1544
486	1463	1541
487	1466	1538
488	1469	1535
489	1472	1532
490	1476	1530
491	1479	1527
492	1482	1524
493	1485	1521
494	1489	1519
495	1492	1516
496	1495	1513
497	1498	1510
498	1501	1507
499	1504	1504
500	1507	1501
501	1509	1497
502	1512	1494
503	1515	1491
504	1518	1488
505	1521	1485
506	1523	1481
507	1526	1478
508	1529	1475
509	1532	1472
510	1535	1469
511	1537	1465
512	1540	1462
513	1543	1459
514	1546	1456
515	1549	1453
516	1551	1449
517	1554	1446
518	1557	1443
519	1559	1439
520	1562	1436
521	1565	1433
522	1568	1430
523	1570	1426
524	1573	1423
525	1576	1420
526	1578	1417
527	1581	1413
528	1584	1410
529	1587	1407
530	1590	1405
531	1594	1402
532	1597	1399
533	1600	1396
534	1603	1393
535	1607	1391
536	1610	1388
537	1614	1386
538	1617	1383
539	1620	1380
540	1623	1377
541	1626	1374
542	1630	1372
543	1633	1369
544	1636	1366
545	1639	1363
546	1642	1360
547	1646	1357
548	1649	1354
549	1652	1351
550	1655	1349
551	1658	1345
552	1661	1343
553	1664	1340
554	1667	1337
555	1670	1334
556	1673	1331
557	1676	1327
558	1679	1325
559	1682	1322
560	1685	1319
561	1688	1315
562	1690	1312
563	1693	1309
564	1696	1306
565	1699	1302
566	1701	1299
567	1704	1296
568	1707	1293
569	1710	1290
570	1713	1287
571	1716	1284
572	1718	1280
573	1722	1278
574	1725	1275
575	1728	1272
576	1731	1269
577	1733	1265
578	1736	1262
579	1739	1259
580	1742	1256
581	1744	1253
582	1747	1249
583	1750	1246
584	1753	1243
585	1755	1240
586	1758	1237
587	1761	1234
588	1763	1230
589	1766	1227
590	1769	1224
591	1772	1221
592	1774	1218
593	1777	1215
594	1780	1212
595	1784	1209
596	1786	1206
597	1790	1203
598	1793	1200
599	1796	1197
600	1799	1194
601	1802	1191
602	1805	1188
603	1809	1186
604	1812	1183
605	1815	1180
606	1818	1177
607	1821	1174
608	1825	1171
609	1828	1169
610	1831	1166
611	1835	1163
612	1838	1160
613	1841	1157
614	1845	1155
615	1848	1152
616	1851	1149
617	1854	1146
618	1858	1143
619	1861	1140
620	1864	1138
621	1868	1135
622	1871	1132
623	1874	1129
624	1877	1126
625	1880	1123
626	1883	1120
627	1886	1117
628	1889	1114
629	1892	1111
630	1895	1108
631	1897	1105
632	1900	1101
633	1903	1098
634	1906	1095
635	1908	1092
636	1911	1089
637	1914	1086
638	1917	1083
639	1920	1080
640	1922	1076
641	1924	1073
642	1927	1069
643	1930	1066
644	1932	1063
